key,name,other_names,annotation,notes
quijote,Don Quijote de la Mancha,Alonso Quijano,Nota de alcance sobre el personaje,
alisolan,Alisolán,,Nota de alcance sobre la persona o personaje,
cura,Pedro Pérez,,Amigo de Don Quijote,
barbero,maese Nicolás,,Amigo de Don Quijote,
sancho panza,Sancho Panza,,Escudero de Don Quijote,
dorotea,Dorotea,,,
sobrina,Madalena,,Sobrina de Don Quijote,
villegas,Villegas,,,
luis,Fray Luis de Granada,,https://es.wikipedia.org/wiki/Luis_de_Granada,
ginesillo,Ginesillo,,,
catalina,Santa Catalina,,https://es.wikipedia.org/wiki/Catalina_de_Siena,
bernardo,San Bernardo,,https://es.wikipedia.org/wiki/Bernardo_de_Claraval,
lorenzo,San Lorenzo,,https://es.wikipedia.org/wiki/Lorenzo_de_Roma,
bartolome,San Bartolomé,,https://es.wikipedia.org/wiki/Bartolom%C3%A9_el_Ap%C3%B3stol,
